id|idawardtype|winner|category
194055|2855|True|b'best original score'
194231|2855|True|b'best original score'
197010|2897|True|b'best original film score'
197055|2897|True|b'best original film score'
197099|2897|True|b'best original film score'
197148|2897|True|b'best original film score'
197201|2897|True|b'best original film score'
197248|2897|True|b'best original film score'
197297|2897|True|b'best original film score'
197343|2897|True|b'best original film score'
197399|2897|True|b'best original film score'
197455|2897|True|b'best original film score'
197506|2897|True|b'best original film score'
197611|2897|True|b'best original film score'
197662|2897|True|b'best original film score'
197716|2897|True|b'best original film score'
197768|2897|True|b'best original film score'
197828|2897|True|b'best original film score'
197891|2897|True|b'best original film score'
198029|2897|True|b'best original film score'
198099|2897|True|b'best original film score'
198238|2897|True|b'best original film score'
198307|2897|True|b'best original film score'
198378|2897|True|b'best original film score'
198447|2897|True|b'best original film score'
198518|2897|True|b'best original film score'
198644|2897|True|b'best original film score'
198714|2897|True|b'best original film score'
198793|2897|True|b'best original film score'
198866|2897|True|b'best original film score'
198998|2897|True|b'best original film score'
199073|2897|True|b'best original film score'
199343|2912|True|b'best original score   independent film'
199636|2915|True|b'best original score'
200341|2925|True|b'best music score'
200349|2912|True|b'best original score   special feature'
200367|2912|True|b'best original score   feature film'
200368|2912|True|b'best original score   feature film'
200377|2912|True|b'best original score   sci fi fantasy film'
200378|2912|True|b'best original score   sci fi fantasy film'
200386|2912|True|b'best song score   trailer'
200410|2912|True|b'best original score   animated film'
200421|2912|True|b'best original score   feature film'
200436|2912|True|b'best original score   sci fi fantasy film'
200476|2912|True|b'best original score   animated film'
200486|2912|True|b'best original score   feature film'
200493|2912|True|b'best original score   independent film'
200498|2912|True|b'best original score   sci fi fantasy film'
200568|2912|True|b'best original score   independent film foreign language'
201346|2937|True|b'best score in a feature film'
202405|2966|True|b'best film score'
202980|2978|True|b'best original score'
203321|2985|True|b'best score'
203408|2985|True|b'best score'
206260|3024|True|b'best original score'
206406|3024|True|b'best original score'
207096|3048|True|b'best film score'
208015|3061|True|b'best original score mejor m\xc3\xbasica original'
208069|3061|True|b'best original score mejor m\xc3\xbasica original'
208132|3061|True|b'best original score mejor m\xc3\xbasica original'
208685|3061|True|b'best original score mejor m\xc3\xbasica original'
208837|3061|True|b'best original score mejor m\xc3\xbasica original'
208901|3061|True|b'best score mejor m\xc3\xbasica'
209053|3061|True|b'best original score mejor m\xc3\xbasica original'
209264|3061|True|b'best original score mejor m\xc3\xbasica original'
209524|3061|True|b'best original score mejor m\xc3\xbasica original'
209608|3061|True|b'best original score mejor m\xc3\xbasica original'
209684|3061|True|b'best original score mejor m\xc3\xbasica original'
209766|3061|True|b'best original score mejor m\xc3\xbasica original'
210041|3061|True|b'best original score mejor m\xc3\xbasica original'
210127|3061|True|b'best original score mejor m\xc3\xbasica original'
210225|3061|True|b'best original score mejor m\xc3\xbasica original'
210507|3061|True|b'best original score mejor m\xc3\xbasica original'
210610|3061|True|b'best original score mejor m\xc3\xbasica original'
210704|3061|True|b'best original score mejor m\xc3\xbasica original'
210796|3061|True|b'best original score mejor m\xc3\xbasica original'
211725|3059|True|b'best original score melhor m\xc3\xbasica original'
211745|3059|True|b'best original score melhor m\xc3\xbasica original'
211778|3071|True|b'best soundtrack album background score   motion picture or television'
211786|3071|True|b'best soundtrack album dramatic picture score or original cast'
211808|3071|True|b'best soundtrack album or recording or score from motion picture or television'
211815|3071|True|b'best original score from a motion picture or television show'
211819|3071|True|b'best original score written for a motion picture or television show'
211825|3071|True|b'best original score written for a motion picture or television show'
211836|3071|True|b'best original score written for a motion picture or television show'
211841|3071|True|b'best original score written for a motion picture'
211846|3071|True|b'best original score written for a motion picture'
211858|3071|True|b'best original score written for a motion picture or television show'
211869|3071|True|b'best original score written for a motion picture or tv special'
211877|3071|True|b'album of best original score written for a motion picture'
211883|3071|True|b'album of best original score written for a motion picture or television special'
211889|3071|True|b'album of best original score written for a motion picture'
211896|3071|True|b'best album of original score written for a motion picture or television special'
211911|3071|True|b'best album of original score written for a motion picture or television special'
211915|3071|True|b'best album of original score written for a motion picture or television special'
211922|3071|True|b'best album of original score written for a motion picture or television special'
211927|3071|True|b'best album of original score written for a motion picture or television special'
211935|3071|True|b'best album of original score written for a motion picture or television special'
211945|3071|True|b'best album of original score written for a motion picture or television special'
211955|3071|True|b'best album of instrumental score written for a motion picture or television special'
211969|3071|True|b'best album of original score written for a motion picture or television special'
211994|3071|True|b'best album of original instrumental background score written for a motion picture or television'
212007|3071|True|b'best album of original instrumental background score written for a motion picture or television'
212094|3059|True|b'best original score melhor m\xc3\xbasica original'
212116|3059|True|b'best adapted score melhor m\xc3\xbasica adaptada'
212168|3059|True|b'best score melhor m\xc3\xbasica'
212202|3059|True|b'brazilian competition best score competi\xc3\xa7\xc3\xa3o brasileiro melhor m\xc3\xbasica'
212203|3059|True|b'brazilian competition best score competi\xc3\xa7\xc3\xa3o brasileiro melhor m\xc3\xbasica'
212220|3059|True|b'latin competition best score competi\xc3\xa7\xc3\xa3o latino melhor m\xc3\xbasica'
212257|3059|True|b'brazilian competition best score competi\xc3\xa7\xc3\xa3o brasileiro melhor m\xc3\xbasica'
212345|3059|True|b'best score melhor m\xc3\xbasica'
213156|3071|True|b'best score soundtrack album for a motion picture television or other visual media'
213180|3071|True|b'best score soundtrack album for a motion picture television or other visual media'
213204|3071|True|b'best score soundtrack album for a motion picture television or other visual media'
213226|3071|True|b'best score soundtrack album for a motion picture television or other visual media'
213247|3071|True|b'best score soundtrack album for a motion picture television or other visual media'
213265|3071|True|b'best score soundtrack album for motion picture television or other visual media'
213284|3071|True|b'best score soundtrack album for motion picture television or other visual media'
213310|3071|True|b'best score soundtrack album for motion picture television or other visual media'
213316|3071|True|b'best score soundtrack for visual media'
213334|3071|True|b'best score soundtrack album for motion picture television or other visual media'
213355|3071|True|b'best score soundtrack album for motion picture television or other visual media'
213373|3071|True|b'best score soundtrack album for motion picture television or other visual media'
213391|3071|True|b'best score soundtrack for visual media'
213413|3071|True|b'best score soundtrack for visual media'
213440|3071|True|b'best score soundtrack for visual media'
213482|3071|True|b'best score soundtrack for visual media'
213505|3071|True|b'best score soundtrack for visual media'
213525|3071|True|b'best score soundtrack for visual media'
213828|3080|True|b'best musical score'
216123|3085|True|b'best score migliore colonna sonora'
216466|3080|True|b'best musical score'
217803|3078|True|b'best original score'
218079|3078|True|b'best original score'
218375|3078|True|b'best original score'
218381|3078|True|b'best original score tv spot'
218386|3078|True|b'best original score tv spot'
218723|3078|True|b'best original score'
218727|3078|True|b'best original score tv spot'
219071|3078|True|b'best original score'
219433|3078|True|b'best original score tv spot'
219770|3087|True|b'best spanish score'
219773|3087|True|b'best edition of an existing score'
219786|3087|True|b'best edition of an existing score'
219790|3087|True|b'best science fiction fantasy score'
219800|3087|True|b'best drama score'
219801|3087|True|b'best edition of an existing score'
219802|3087|True|b'best original score'
219804|3087|True|b'best science fiction fantasy score'
220663|3094|True|b'best film score'
220810|3094|True|b'best original film score'
220957|3094|True|b'best original film score'
220992|3094|True|b'best original film score'
221024|3094|True|b'best original film score'
221062|3094|True|b'best original film score'
221095|3094|True|b'best original film score'
221192|3094|True|b'best original film score'
221241|3094|True|b'best original film score'
221339|3094|True|b'best original film score'
221393|3094|True|b'best original film score'
221461|3094|True|b'best original film score'
221513|3094|True|b'best original film score'
221622|3094|True|b'best original film score'
221676|3094|True|b'best original film score'
221990|3094|True|b'best original film score'
222120|3094|True|b'best original film score'
222410|3094|True|b'best original film score'
222489|3094|True|b'best original film score'
223659|3112|True|b'best score migliore colonna sonora'
223818|3112|True|b'best score migliore colonna sonora'
223872|3112|True|b'best score migliore colonna sonora'
223958|3112|True|b'best score migliore colonna sonora'
224051|3112|True|b'best score migliore colonna sonora'
224096|3112|True|b'best score migliore colonna sonora'
224142|3112|True|b'best score migliore colonna sonora'
224195|3112|True|b'best score migliore colonna sonora'
224281|3112|True|b'best score migliore colonna sonora'
224326|3112|True|b'best score migliore colonna sonora'
224367|3112|True|b'best score migliore colonna sonora'
224507|3112|True|b'best score migliore colonna sonora'
224615|3112|True|b'best score migliore colonna sonora'
224666|3112|True|b'best score migliore colonna sonora'
224717|3112|True|b'best score migliore colonna sonora'
224776|3112|True|b'best score migliore colonna sonora'
224831|3112|True|b'best score migliore colonna sonora'
224968|3112|True|b'best score migliore colonna sonora'
225021|3112|True|b'best score migliore colonna sonora'
